base_trade_pct,trigger_pct,max_trade_usd,min_trade_usd,multiplier,Market_Trend,Avg_Trading_Profit_USD,Avg_Hold_Profit_USD,Total_Months,Avg_Num_Trades,Profit_Diff
0.1,0.1,1000,15,1.1,Sideways,3.15,-4.99,36,3.72,8.14
0.1,0.1,500,15,1.1,Sideways,3.15,-4.99,36,3.72,8.14
0.4,0.02,750,15,1.1,Sideways,3.07,-4.99,36,72.56,8.06
0.4,0.02,1000,15,1.1,Sideways,3.07,-4.99,36,72.56,8.06
0.1,0.1,1000,15,1.0,Sideways,2.41,-4.99,36,3.72,7.4
0.1,0.1,500,15,1.0,Sideways,2.41,-4.99,36,3.72,7.4
0.4,0.02,1000,15,1.0,Sideways,2.31,-4.99,36,72.89,7.300000000000001
0.4,0.02,500,15,1.0,Sideways,2.31,-4.99,36,72.89,7.300000000000001
0.5,0.02,500,15,1.2,Sideways,0.15,-4.99,36,70.06,5.140000000000001
0.1,0.2,500,15,1.2,Sideways,0.02,-4.99,36,0.83,5.01
0.1,0.2,750,15,1.2,Sideways,0.02,-4.99,36,0.83,5.01
0.5,0.02,1000,15,1.2,Sideways,-0.15,-4.99,36,70.06,4.84
0.5,0.02,750,15,1.1,Sideways,-0.16,-4.99,36,71.64,4.83
0.5,0.02,1000,15,1.1,Sideways,-0.16,-4.99,36,71.64,4.83
0.1,0.2,500,15,1.1,Sideways,-0.21,-4.99,36,0.83,4.78
0.5,0.02,500,15,1.0,Sideways,-0.42,-4.99,36,72.08,4.57
0.1,0.2,500,15,1.0,Sideways,-0.43,-4.99,36,0.83,4.5600000000000005
0.5,0.02,750,15,1.0,Sideways,-0.53,-4.99,36,72.08,4.46
0.5,0.02,1000,15,1.0,Sideways,-0.53,-4.99,36,72.08,4.46
